names,scores,logfoldchanges,pvals,pvals_adj
ERGIC1,6.6031523,0.36021096,4.025059104590278e-11,1.908373125351755e-09
RNF167,6.5971193,0.53456354,4.192233682000042e-11,1.983117087662474e-09
ACSL3,6.5796556,0.5994312,4.715388876836262e-11,2.2055304288195496e-09
RP1,6.5685425,1.3915975,5.0810134290844713e-11,2.3659108168448363e-09
GBP1,6.565447,1.1219686,5.187711849389719e-11,2.410201661455304e-09
TST,6.5535398,0.77609015,5.6189002261626514e-11,2.6047169110768247e-09
GPSM3,6.5174217,1.3493717,7.152612451653588e-11,3.3083216793048395e-09
ADGRE5,6.5159135,1.2213897,7.224860211273553e-11,3.3343290562626995e-09
AC129507.4,6.5021014,2.1414294,7.92056957960457e-11,3.6392656783640065e-09
FKBP10,6.4667773,0.70941156,1.0011506734733218e-10,4.579769256631587e-09
KCNE4,6.4564576,1.0310216,1.0718203384555955e-10,4.892295729082185e-09
ITPK1,6.4251027,0.49926037,1.3178052107790327e-10,5.949847647972839e-09
C2,6.4227214,1.0136536,1.3385944590475278e-10,6.030628803163473e-09
PSMB6,6.4047813,0.39008516,1.5058498121820762e-10,6.7694941664703535e-09
CTPS2,6.4033527,0.51504874,1.520016452827547e-10,6.8184531140415e-09
RPL9,6.363504,0.21949182,1.9720256828243876e-10,8.714595023844332e-09
SEMA3B,6.3546925,1.1418328,2.0884387460247157e-10,9.190013543289309e-09
NDUFA10,6.347469,0.43764505,2.188860938672217e-10,9.611593159815089e-09
ST13,6.3426266,0.44136414,2.258801626190325e-10,9.897830957373773e-09
CUTA,6.330958,0.31108126,2.436437837898668e-10,1.063145013795029e-08
ARHGAP4,6.319686,0.9412061,2.6209538864225777e-10,1.1365111289999903e-08
KAT6B,6.3110337,0.70814055,2.7717813478068695e-10,1.1994149058888188e-08
RHOBTB3,6.301587,1.2099777,2.94612769558556e-10,1.2722137314505777e-08
VAMP8,6.295713,0.36342204,3.0598972560499334e-10,1.3158822621368454e-08
TRBC1,6.2840443,1.2710627,3.2987663787804575e-10,1.4012351715905396e-08
LTB,6.267692,1.3700342,3.6643865366595995e-10,1.5502142555697743e-08
ASB13,6.251816,0.73163706,4.057072409413939e-10,1.7128581162178847e-08
MT-ND4,6.2396708,0.2917582,4.3849262218682694e-10,1.841946110601061e-08
LAP3,6.2368927,0.59247226,4.4634838719046567e-10,1.8692747144833707e-08
PABPC1L,6.226414,1.1904237,4.772308733183523e-10,1.986616679449637e-08
MMP9,6.223874,0.6235821,4.850260251138913e-10,2.015036264814478e-08
SYNPO2,6.2115703,1.1708372,5.245771559353996e-10,2.1706856707036597e-08
GPNMB,6.1727533,0.5973264,6.711082976138316e-10,2.738911393438096e-08
RAMP1,6.1568775,0.4320986,7.41932298354038e-10,3.010249290046968e-08
OBSCN,6.141001,0.9384504,8.200285891705277e-10,3.314189331067061e-08
IFI27L2,6.1286974,0.8935366,8.860140168092212e-10,3.56702045374606e-08
HLA-F,6.10663,0.5614378,1.0175686677026077e-09,4.0496509081380643e-08
MALAT1,6.1043277,0.44659284,1.0323421617180865e-09,4.100604914885544e-08
LAPTM4B,6.103534,0.4532588,1.0374848007487303e-09,4.113182598625537e-08
EIF5AL1,6.0804343,0.51826227,1.1985737691125568e-09,4.733797804612667e-08
SLC16A3,6.0741634,0.69487417,1.2463578435781483e-09,4.8946588974029394e-08
SNU13,6.06432,0.40727377,1.3251288288246317e-09,5.174715092524556e-08
PRPF8,6.0414586,0.39099205,1.5272701867951246e-09,5.9035067389473846e-08
ARHGDIB,6.0413,0.42623273,1.5287739657406745e-09,5.9035067389473846e-08
CD44,6.0394745,0.5187814,1.5461714782350576e-09,5.959632064441572e-08
CD3E,6.02717,1.7438011,1.6685508506898007e-09,6.407604687501385e-08
C15orf48,5.9915285,0.8318933,2.078776012745678e-09,7.866844350779734e-08
TSPAN5,5.955411,1.1653028,2.5941938309045307e-09,9.746489241235904e-08
MAPK8IP2,5.9388995,1.077752,2.8694128455584595e-09,1.0722434285000678e-07
TNNT1,5.925961,0.46608102,3.1047668884882284e-09,1.1581114339963081e-07
SYAP1,5.924532,0.4901319,3.131881399765586e-09,1.1661355895298909e-07
TXNIP,5.9100056,0.4736882,3.4209654855320476e-09,1.2714995645690005e-07
PTPN1,5.893415,0.51796293,3.78294852364854e-09,1.3985486779968155e-07
CD2,5.866743,1.3883364,4.4443808288651215e-09,1.6401656484396921e-07
PKM,5.845946,0.26752317,5.036984561709396e-09,1.8490263962507825e-07
TSPYL5,5.832213,0.58545727,5.469706253480759e-09,2.0008166249551583e-07
S100A4,5.8257833,0.43619186,5.684539820356841e-09,2.075754593349251e-07
ASCL1,5.8221316,1.2965264,5.810175525640406e-09,2.1105234448635153e-07
KLC1,5.8199883,0.6382269,5.885171913094049e-09,2.1340412578247305e-07
NAPA,5.813876,0.30300584,6.104259757206601e-09,2.2096358710695337e-07
GRB2,5.8015723,0.38041073,6.569599709633614e-09,2.365737860835883e-07
CHCHD10,5.786728,0.36216742,7.177059622186745e-09,2.5800227802451627e-07
SAT2,5.7816477,0.56631434,7.397244904795966e-09,2.645468306673939e-07
SPAG7,5.7800603,0.72016317,7.467389993196526e-09,2.6659735046036446e-07
RANGAP1,5.7704554,0.4869927,7.905767631228707e-09,2.812831580793065e-07
GLO1,5.733067,0.37366936,9.863053502218522e-09,3.4913196529791894e-07
TMEM256,5.721081,0.3968235,1.0584853791528319e-08,3.74046089672106e-07
SYNGR2,5.668134,0.20769405,1.4436080086906786e-08,5.041486089410702e-07
SLC25A11,5.649321,0.45550358,1.6108261461255257e-08,5.606644716631554e-07
ADA2,5.647813,0.7957439,1.6250180016562903e-08,5.646598445154261e-07
SRGN,5.6462255,0.78157777,1.6400879734163624e-08,5.689465179781361e-07
FGL2,5.6351123,1.1770909,1.7494441601766255e-08,6.048659593009349e-07
STC2,5.633842,0.4848487,1.7623839360253003e-08,6.083293407036584e-07
DNALI1,5.622491,1.4412016,1.8822364781077656e-08,6.454179580780072e-07
IGHG4,5.617569,0.23324157,1.9366263707599476e-08,6.617133938149381e-07
EMC4,5.6170135,0.50700074,1.9428621962380385e-08,6.61845069598994e-07
GLOD4,5.613124,0.62154347,1.987062104948581e-08,6.757959256928066e-07
SEMA3F,5.6113777,0.34980187,2.0072230790696644e-08,6.815390076306034e-07
SERF2,5.6067734,0.10365507,2.0613313654494137e-08,6.987711895841057e-07
CNPY3,5.6049476,0.51248497,2.0831779212345148e-08,7.050287032939055e-07
TMEM176B,5.588675,0.4012412,2.288089324670027e-08,7.693746559560895e-07
C1S,5.580181,0.60759526,2.402681899565285e-08,8.066035654443846e-07
MIEN1,5.558431,0.36393583,2.7221048181623552e-08,9.094364315446431e-07
NEU1,5.5503345,0.8537734,2.85123906984963e-08,9.510527243565737e-07
GLUD1,5.543031,0.43806833,2.9727970448177246e-08,9.868548276050417e-07
WDR1,5.538586,0.32704267,3.049234848818572e-08,1.0106174226641683e-06
CORO1A,5.532315,0.68263334,3.160317199497813e-08,1.0433981511153962e-06
AKR7A3,5.5090566,0.5779029,3.6076185650912786e-08,1.1806442266322308e-06
TMEM9,5.5042143,0.2828114,3.7081797742743034e-08,1.2116491965737104e-06
ARL6IP5,5.4958797,0.4636598,3.8876785008268715e-08,1.2663245745885838e-06
BEX3,5.4942126,0.32403302,3.92457592860449e-08,1.2763456777808415e-06
EXOC2,5.464683,0.6339841,4.6373433948198536e-08,1.496459928988844e-06
SGCG,5.455237,1.0375463,4.890758852586945e-08,1.5730366330415654e-06
GBP4,5.454999,1.0358757,4.897317854381351e-08,1.5730366330415654e-06
FTL,5.4384875,0.20068496,5.373470793181957e-08,1.7127629569569562e-06
HSP90AB1,5.4342804,0.122954495,5.50179476492289e-08,1.7483107822458784e-06
GP2,5.4299145,0.7339297,5.638099755674158e-08,1.7861705983957675e-06
STAT5A,5.4257073,0.83210593,5.772541054183737e-08,1.820449537905762e-06
CHI3L1,5.4253902,1.4321454,5.782812688959242e-08,1.820929853373641e-06
ABAT,5.4238024,1.5938525,5.83443710198484e-08,1.8324576568601492e-06
MT-ATP8,5.4213414,0.61267465,5.915338586083453e-08,1.8531017808623735e-06
PPP1R1B,5.40618,1.2981561,6.438307925012681e-08,2.009099567484467e-06
KCNK6,5.3849063,0.9728221,7.248244374761355e-08,2.2483600360101765e-06
ADCY5,5.383398,1.4174243,7.309268932248596e-08,2.263915529104498e-06
PCCB,5.3807783,0.5604234,7.416443653878103e-08,2.2902946322228314e-06
GBP2,5.3736343,1.0006821,7.716531920858306e-08,2.379435487418441e-06
EEF1A1,5.3590283,0.12930694,8.367075842899525e-08,2.5610634793251574e-06
FLNB,5.3415647,0.30082017,9.214773393398033e-08,2.8163919737178658e-06
ACP5,5.334738,0.5420326,9.568262418920368e-08,2.9201439001086297e-06
SNRPD3,5.3191,0.3678281,1.0428175174099671e-07,3.1686428915870153e-06
MMEL1,5.313702,1.2121164,1.0742008352104928e-07,3.249769794196395e-06
GZMK,5.3039384,2.5108354,1.1333050253455048e-07,3.418639246020484e-06
CERS6,5.2976675,0.4614423,1.172913079234954e-07,3.5329975153684994e-06
AFF3,5.297271,0.62210596,1.175464487424971e-07,3.5355661620322753e-06
RDH11,5.290682,0.7481376,1.21861064354574e-07,3.6600522272382445e-06
LRP2,5.2847285,1.1672271,1.2589130334785193e-07,3.770218112060705e-06
IFI6,5.276552,0.19985294,1.3163689784890605e-07,3.936624126188406e-06
CXCL13,5.2556753,2.1452522,1.4748219817849618e-07,4.385277818410313e-06
SCNN1A,5.2527385,1.1784772,1.4985434120605893e-07,4.436796952863315e-06
CLDN7,5.2473407,0.29523954,1.543105316315966e-07,4.55577220621284e-06
MYH10,5.2398787,0.7634174,1.6068210535061155e-07,4.737163372192109e-06
LINC00052,5.2345605,0.9609181,1.6537805689063276e-07,4.8481392621431415e-06
MXRA8,5.230512,0.4680116,1.690412595104888e-07,4.927765791948619e-06
UBD,5.2093177,1.3347876,1.8953657752785096e-07,5.4791865620342914e-06
ISYNA1,5.2017765,0.68818754,1.973926812153624e-07,5.6904865191365e-06
HERPUD1,5.1948705,0.3849854,2.0486263267597323e-07,5.897663674298349e-06
FUT8,5.1855035,0.8156428,2.1543211636917207e-07,6.193375787441917e-06
YWHAZ,5.177486,0.16376697,2.248957573627669e-07,6.456524543101559e-06
ZFP36L2,5.1391454,0.5746166,2.7599068034079725e-07,7.836176873604177e-06
LCN12,5.1389074,1.2716799,2.7634062771334033e-07,7.836176873604177e-06
DNAJA4,5.1366053,0.49490228,2.797456203029785e-07,7.91117573503559e-06
PKN1,5.136129,0.4205873,2.8045514298837333e-07,7.92047943848033e-06
RAB11FIP4,5.1214437,0.47715873,3.0320524655111594e-07,8.516753038751589e-06
CXorf40A,5.108584,1.0338366,3.245818557513774e-07,9.075871950163755e-06
CSF3R,5.0982647,1.3977455,3.427812153726888e-07,9.525565042412742e-06
BPHL,5.089295,0.5684951,3.59397557317406e-07,9.964142531214361e-06
